,id,Tanggal_Order,Waktu_Pesan,Nama_Pemesan,No_Resi,Produk,Kategori,Jumlah_Pesanan,Harga,Diskon,Total_Harga,Profit,Kota_Pengiriman - Media Pemesanan,Admin_Proses,Ekspedisi,Rating
0,1,2018/01/15,19:56:05,Karla Nissle,60512-6443,T-Shirt,,9.0,,,,,Bandung - Instagram,Mark,Wahana,4.0
1,2,2018/01/05,17:50:33,Galen Janic,49349-424,,,24.0,,,,,Yogyakarta - Lazada,Mark,SiCepat,2.0
2,3,2018/01/13,20:52:39,Emma Beddoes,55926-0020,Oversized T-Shirt,,9.0,,13.0,,,Jakarta - Shopee,Mark,,5.0
3,4,2018/01/27,4:52:12,Alane Morat,60681-2104,T-Shirt,,8.0,,,,,,Nami,Shopee Express,4.0
4,5,2018/01/04,18:50:42,Eugenie Jewis,63739-110,,,4.0,,,,,Depok - Lazada,Wanokuni,POS Indonesia,5.0
5,6,2018/01/20,4:00:42,Milzie Baseggio,75921-158,Oversized T-Shirt,,6.0,,,,,Jakarta - Tokopedia,Wanokuni,Tiki,2.0
6,7,2018/01/04,17:25:48,Alard Betonia,66129-107,,,1.0,,,,,Bali - Shopee,Wanokuni,JNT,5.0
7,8,2018/01/20,10:52:37,Cathie Brimelow,55312-016,T-Shirt,,24.0,,30.0,,,,Rizal,SiCepat,4.0
8,9,2018/01/28,20:25:52,Burnaby Muslim,63304-637,T-Shirt,,15.0,,32.0,,,Bandung - Lazada,Abraham,JNT,2.0
9,10,2018/01/24,11:30:07,Gustavo Brumen,0013-2646,Cargo Pants,,1.0,,32.0,,,Depok - Tiktok,Nami,SiCepat,1.0
10,11,2018/01/29,13:27:11,Felicity Primak,50458-562,Cargo Pants,,3.0,,,,,Tangerang - Shopee,Rizal,Wahana,3.0
11,12,2018/01/13,13:36:50,Robbyn Ornillos,51523-120,Oversized T-Shirt,,14.0,,,,,Depok - Website,Jeff,SiCepat,3.0
12,13,2018/01/15,21:56:20,Marysa O'Currine,68776-1003,Parka Jackets,,25.0,,34.0,,,Depok - Tokopedia,Abraham,Wahana,
13,14,2018/01/08,23:15:40,Kip Pelman,13668-271,Oversized T-Shirt,,25.0,,25.0,,,Jakarta - Lazada,Elon,,4.0
